07:46:14::INFO: Start training on splits/hoge_splits.json
07:52:49::INFO: Epoch: 3/100    Loss: 0.10331
07:52:54::INFO: Epoch: 4/100    Loss: 0.09123
07:52:58::INFO: Epoch: 5/100    Loss: 0.08980
07:53:02::INFO: Epoch: 6/100    Loss: 0.08536
07:53:06::INFO: Epoch: 7/100    Loss: 0.08208
07:53:10::INFO: Epoch: 8/100    Loss: 0.07478
07:53:13::INFO: Epoch: 9/100    Loss: 0.07496
07:53:18::INFO: Epoch: 10/100   Loss: 0.06980
07:53:22::INFO: Epoch: 11/100   Loss: 0.06430
07:53:26::INFO: Epoch: 12/100   Loss: 0.06185
07:53:30::INFO: Epoch: 13/100   Loss: 0.06108
07:53:34::INFO: Epoch: 14/100   Loss: 0.05483
07:53:38::INFO: Epoch: 15/100   Loss: 0.05215
07:53:42::INFO: Epoch: 16/100   Loss: 0.05153
07:53:46::INFO: Epoch: 17/100   Loss: 0.04058
07:53:50::INFO: Epoch: 18/100   Loss: 0.03599
07:53:54::INFO: Epoch: 19/100   Loss: 0.03998
07:53:59::INFO: Epoch: 20/100   Loss: 0.03609
07:54:02::INFO: Epoch: 21/100   Loss: 0.03249
07:54:07::INFO: Epoch: 22/100   Loss: 0.03336
07:54:11::INFO: Epoch: 23/100   Loss: 0.03166
07:54:15::INFO: Epoch: 24/100   Loss: 0.02659
07:54:19::INFO: Epoch: 25/100   Loss: 0.02119
07:54:23::INFO: Epoch: 26/100   Loss: 0.01845
07:54:27::INFO: Epoch: 27/100   Loss: 0.01680
07:54:31::INFO: Epoch: 28/100   Loss: 0.01565
07:54:35::INFO: Epoch: 29/100   Loss: 0.01393
07:54:40::INFO: Epoch: 30/100   Loss: 0.01327
07:54:44::INFO: Epoch: 31/100   Loss: 0.01274
07:54:48::INFO: Epoch: 32/100   Loss: 0.01222
07:54:52::INFO: Epoch: 33/100   Loss: 0.01080
07:54:56::INFO: Epoch: 34/100   Loss: 0.00951
07:55:00::INFO: Epoch: 35/100   Loss: 0.00867
07:55:04::INFO: Epoch: 36/100   Loss: 0.00805
07:55:08::INFO: Epoch: 37/100   Loss: 0.00758
07:55:13::INFO: Epoch: 38/100   Loss: 0.00739
07:55:16::INFO: Epoch: 39/100   Loss: 0.00684
07:55:21::INFO: Epoch: 40/100   Loss: 0.00655
07:55:25::INFO: Epoch: 41/100   Loss: 0.00671
07:55:29::INFO: Epoch: 42/100   Loss: 0.00655
07:55:33::INFO: Epoch: 43/100   Loss: 0.00653
07:55:37::INFO: Epoch: 44/100   Loss: 0.00723
07:55:41::INFO: Epoch: 45/100   Loss: 0.00814
07:55:46::INFO: Epoch: 46/100   Loss: 0.00895
07:55:50::INFO: Epoch: 47/100   Loss: 0.00828
07:55:54::INFO: Epoch: 48/100   Loss: 0.00622
07:55:58::INFO: Epoch: 49/100   Loss: 0.00568
